date,hour,CO (mg/m³),NO2 (µg/m³),O3 (µg/m³),SO2 (µg/m³)
20220101,0,0.98,40,46,14
20220101,1,0.96,40,43,13
20220101,2,0.95,44,37,12
20220101,3,0.89,43,36,12
20220101,4,0.86,44,31,11
20220101,5,0.84,44,28,12
20220101,6,0.79,42,28,11
20220101,7,0.75,45,24,11
20220101,8,0.7,45,23,10
20220101,9,0.69,40,29,10
20220101,10,0.8,35,36,13
20220101,11,0.91,32,46,13
20220101,12,0.93,33,52,13
20220101,13,0.86,35,61,14
20220101,14,0.87,37,66,15
20220101,15,0.87,41,68,15
20220101,16,0.93,46,68,15
20220101,17,0.91,54,58,14
20220101,18,0.99,74,34,13
20220101,19,1.19,90,10,11
20220101,20,1.45,93,8,12
20220101,21,1.54,90,5,11
20220101,22,1.51,89,5,11
20220101,23,1.51,88,5,11
20220102,0,1.45,86,4,11
20220102,1,1.44,83,5,11
20220102,2,1.46,79,7,11
20220102,3,1.54,76,6,11
20220102,4,1.61,74,7,11
20220102,5,1.67,73,6,13
20220102,6,1.65,81,5,13
20220102,7,1.41,80,5,14
20220102,8,1.3,77,5,16
20220102,9,1.24,68,11,15
20220102,10,1.14,53,23,15
20220102,11,1.09,46,33,15
20220102,12,1.15,43,42,15
20220102,13,1.04,37,53,13
20220102,14,0.88,36,59,12
20220102,15,0.82,38,62,12
20220102,16,0.79,40,61,12
20220102,17,0.73,45,53,12
20220102,18,0.86,56,38,13
20220102,19,0.99,60,34,15
20220102,20,0.95,59,31,15
20220102,21,0.99,56,29,14
20220102,22,1.01,55,25,17
20220102,23,0.96,52,24,13
20220103,0,0.88,48,21,10
20220103,1,0.85,49,16,10
20220103,2,0.79,47,17,9
20220103,3,0.78,49,13,8
20220103,4,0.74,47,14,7
20220103,5,0.75,46,16,8
20220103,6,0.78,47,13,8
20220103,7,0.83,51,10,8
20220103,8,0.87,52,8,9
20220103,9,0.9,51,9,9
20220103,10,0.88,47,20,10
20220103,11,0.91,44,32,12
20220103,12,1,42,46,14
20220103,13,1.05,44,58,15
20220103,14,1.05,47,68,15
20220103,15,1.05,53,70,14
20220103,16,1.07,67,57,14
20220103,17,1.05,79,41,12
20220103,18,1.18,100,16,12
20220103,19,1.28,104,12,11
20220103,20,1.43,104,9,11
20220103,21,1.49,102,11,12
20220103,22,1.49,100,10,12
20220103,23,1.5,96,10,10
20220104,0,1.48,91,16,10
20220104,1,1.45,86,15,10
20220104,2,1.41,85,11,11
20220104,3,1.49,86,7,12
20220104,4,1.45,80,7,15
20220104,5,1.69,84,4,16
20220104,6,1.66,80,4,15
20220104,7,1.71,75,3,15
20220104,8,1.68,69,4,15
20220104,9,1.6,61,9,17
20220104,10,1.57,59,12,18
20220104,11,1.6,60,15,18
20220104,12,1.71,59,19,19
20220104,13,1.64,55,26,20
20220104,14,1.6,57,26,20
20220104,15,1.55,59,23,18
20220104,16,1.51,62,17,16
20220104,17,1.41,63,14,15
20220104,18,1.3,60,17,14
20220104,19,1.23,53,22,12
20220104,20,1.18,49,27,11
20220104,21,1,37,40,9
20220104,22,0.74,25,55,8
20220104,23,0.81,23,60,7
20220105,0,0.79,20,61,7
20220105,1,0.7,20,61,6
20220105,2,0.69,18,61,6
20220105,3,0.64,19,60,6
20220105,4,0.59,17,58,6
20220105,5,0.54,18,53,5
20220105,6,0.49,19,46,5
20220105,7,0.49,22,41,5
20220105,8,0.56,30,28,5
20220105,9,0.67,35,20,5
20220105,10,0.7,36,20,5
20220105,11,0.66,32,30,5
20220105,12,0.64,27,39,5
20220105,13,0.63,24,42,5
20220105,14,0.59,24,48,5
20220105,15,0.61,26,49,5
20220105,16,0.74,31,42,5
20220105,17,0.71,36,36,6
20220105,18,0.77,42,27,6
20220105,19,0.79,48,19,6
20220105,20,0.86,54,13,6
20220105,21,0.89,57,9,6
20220105,22,0.88,56,10,6
20220105,23,0.9,54,10,7
20220106,0,0.88,52,9,6
20220106,1,0.85,50,6,6
20220106,2,0.91,50,3,7
20220106,3,0.91,50,2,7
20220106,4,0.98,48,3,7
20220106,5,1.05,48,3,8
20220106,6,1.01,48,4,8
20220106,7,1.01,49,3,9
20220106,8,1.03,48,3,8
20220106,9,1.24,49,6,9
20220106,10,1.15,49,13,11
20220106,11,1.16,44,31,15
20220106,12,1.08,35,49,13
20220106,13,1,30,61,10
20220106,14,1,29,70,10
20220106,15,0.93,30,72,9
20220106,16,0.86,31,74,8
20220106,17,0.91,36,68,8
20220106,18,0.99,46,53,8
20220106,19,1.01,50,48,8
20220106,20,1.04,59,34,7
20220106,21,1.09,65,26,8
20220106,22,1.15,65,21,8
20220106,23,1.18,71,14,8
20220107,0,1.14,58,23,8
20220107,1,1.2,56,18,7
20220107,2,1.24,54,16,6
20220107,3,1.31,52,11,6
20220107,4,1.33,52,12,6
20220107,5,1.43,55,5,7
20220107,6,1.46,57,5,9
20220107,7,1.41,62,2,10
20220107,8,1.5,61,3,10
20220107,9,1.65,62,4,10
20220107,10,1.5,65,7,11
20220107,11,1.43,64,16,15
20220107,12,1.39,54,36,18
20220107,13,1.26,44,62,19
20220107,14,1.12,38,76,16
20220107,15,1.04,36,80,14
20220107,16,1.1,39,79,12
20220107,17,1.14,43,74,12
20220107,18,1.14,44,70,11
20220107,19,1.19,49,60,10
20220107,20,1.16,45,62,10
20220107,21,1.15,47,55,10
20220107,22,1.18,45,52,10
20220107,23,1.16,46,46,9
20220108,0,1.16,50,39,9
20220108,1,1.18,55,29,9
20220108,2,1.22,61,20,9
20220108,3,1.42,60,21,8
20220108,4,1.4,55,28,8
20220108,5,1.24,58,22,8
20220108,6,1.23,59,16,7
20220108,7,1.29,59,11,7
20220108,8,1.35,59,8,7
20220108,9,1.48,59,11,8
20220108,10,1.51,58,34,11
20220108,11,1.41,52,61,12
20220108,12,1.18,39,80,12
20220108,13,1.05,34,87,11
20220108,14,0.93,31,93,10
20220108,15,0.81,27,96,8
20220108,16,0.79,26,93,8
20220108,17,0.85,35,82,7
20220108,18,0.94,39,70,7
20220108,19,0.95,43,58,7
20220108,20,1.01,44,53,8
20220108,21,1.16,50,44,7
20220108,22,1.25,49,41,7
20220108,23,1.19,49,38,8
20220109,0,1.18,49,35,7
20220109,1,1.16,47,33,7
20220109,2,1.14,49,28,7
20220109,3,1.1,50,26,7
20220109,4,1.15,49,24,8
20220109,5,1.13,45,24,7
20220109,6,1.15,48,18,8
20220109,7,1.2,53,10,8
20220109,8,1.26,55,9,9
20220109,9,1.36,54,12,9
20220109,10,1.38,54,21,10
20220109,11,1.29,47,38,11
20220109,12,1.24,42,53,12
20220109,13,1.1,42,61,10
20220109,14,1,35,75,9
20220109,15,1.07,35,80,8
20220109,16,1.07,35,80,7
20220109,17,1.04,40,75,7
20220109,18,1.06,50,57,7
20220109,19,1.07,58,45,7
20220109,20,1.1,64,35,10
20220109,21,1.04,54,44,6
20220109,22,1.01,46,51,6
20220109,23,1.05,52,40,6
20220110,0,1.11,58,26,6
20220110,1,1.23,51,29,6
20220110,2,1.31,55,19,6
20220110,3,1.3,67,7,8
20220110,4,1.24,62,13,8
20220110,5,1.24,61,10,8
20220110,6,1.29,61,7,8
20220110,7,1.36,64,4,8
20220110,8,1.53,66,3,9
20220110,9,1.57,66,5,9
20220110,10,1.63,70,5,10
20220110,11,1.6,72,7,9
20220110,12,1.64,78,11,10
20220110,13,1.36,69,29,10
20220110,14,1.04,42,66,9
20220110,15,1.06,30,78,9
20220110,16,1.14,35,59,6
20220110,17,1.01,30,62,6
20220110,18,1.14,36,47,6
20220110,19,1.23,45,30,6
20220110,20,1.29,47,21,6
20220110,21,1.41,50,17,6
20220110,22,1.4,41,25,6
20220110,23,1.44,41,23,6
20220111,0,1.46,41,24,8
20220111,1,1.48,41,19,8
20220111,2,1.38,42,15,7
20220111,3,1.38,43,12,7
20220111,4,1.33,42,9,7
20220111,5,1.35,43,7,7
20220111,6,1.24,40,8,7
20220111,7,1.21,41,7,7
20220111,8,1.13,40,8,7
20220111,9,1.02,34,18,7
20220111,10,1.02,30,30,9
20220111,11,1.02,26,38,9
20220111,12,1.07,26,41,8
20220111,13,1.05,26,44,7
20220111,14,1.07,26,48,7
20220111,15,1.1,28,50,7
20220111,16,1.15,31,50,6
20220111,17,1.13,33,48,6
20220111,18,1.14,36,44,6
20220111,19,1.25,45,30,6
20220111,20,1.32,51,22,6
20220111,21,1.2,47,28,6
20220111,22,1.23,42,33,6
20220111,23,1.25,41,31,7
20220112,0,1.29,53,18,7
20220112,1,1.28,55,13,8
20220112,2,1.22,57,7,7
20220112,3,1.2,55,7,8
20220112,4,1.14,54,7,8
20220112,5,1.11,51,12,8
20220112,6,1.06,53,12,8
20220112,7,1.03,53,12,8
20220112,8,1.1,52,12,8
20220112,9,1.11,46,17,8
20220112,10,1,41,24,8
20220112,11,1.04,40,31,10
20220112,12,1.1,36,45,10
20220112,13,1.14,35,55,11
20220112,14,1.09,37,61,11
20220112,15,1.1,37,67,11
20220112,16,1.13,36,72,10
20220112,17,1.2,34,58,8
20220112,18,1.24,28,52,6
20220112,19,1.16,27,48,6
20220112,20,1.21,32,34,6
20220112,21,1.3,42,21,6
20220112,22,1.32,47,14,6
20220112,23,1.34,44,14,6
20220113,0,1.35,45,10,7
20220113,1,1.3,45,12,7
20220113,2,1.09,37,25,6
20220113,3,0.79,28,39,10
20220113,4,0.75,29,35,9
20220113,5,0.76,32,28,7
20220113,6,0.81,33,25,7
20220113,7,0.85,39,17,10
20220113,8,0.91,44,10,10
20220113,9,0.94,39,16,12
20220113,10,1,36,26,12
20220113,11,0.91,33,35,11
20220113,12,0.77,29,46,10
20220113,13,0.7,25,54,9
20220113,14,0.63,22,60,8
20220113,15,0.59,21,63,8
20220113,16,0.59,22,63,8
20220113,17,0.59,25,58,8
20220113,18,0.69,37,43,7
20220113,19,0.75,53,26,8
20220113,20,0.82,67,14,8
20220113,21,0.96,63,14,8
20220113,22,0.96,63,9,8
20220113,23,1,62,6,8
20220114,0,1.09,61,4,8
20220114,1,1.05,60,4,8
20220114,2,1.09,58,5,9
20220114,3,1.11,58,5,11
20220114,4,1.2,59,5,11
20220114,5,1.09,62,4,11
20220114,6,0.96,59,3,11
20220114,7,0.88,58,4,11
20220114,8,0.84,55,8,10
20220114,9,0.81,50,15,9
20220114,10,0.79,48,19,9
20220114,11,0.8,42,28,9
20220114,12,0.73,34,40,10
20220114,13,0.75,30,47,9
20220114,14,0.75,27,51,9
20220114,15,0.69,24,55,9
20220114,16,0.66,25,55,9
20220114,17,0.68,28,52,8
20220114,18,0.85,33,42,8
20220114,19,0.76,41,31,8
20220114,20,0.81,45,26,8
20220114,21,0.84,46,21,9
20220114,22,1.01,49,15,8
20220114,23,1.11,52,11,9
20220115,0,1,52,9,9
20220115,1,0.99,52,8,9
20220115,2,1.06,54,6,9
20220115,3,1.09,55,4,11
20220115,4,1.16,55,3,13
20220115,5,1.19,55,2,12
20220115,6,1.18,53,2,12
20220115,7,1.31,55,2,12
20220115,8,1.41,54,3,11
20220115,9,1.45,53,6,11
20220115,10,1.39,52,10,14
20220115,11,1.21,46,24,13
20220115,12,1.08,31,45,11
20220115,13,1,27,58,10
20220115,14,0.9,24,68,10
20220115,15,0.9,26,74,9
20220115,16,0.92,31,75,10
20220115,17,0.99,35,71,10
20220115,18,1.16,55,46,9
20220115,19,1.29,66,25,9
20220115,20,1.39,76,14,9
20220115,21,1.46,81,6,9
20220115,22,1.49,78,8,9
20220115,23,1.49,76,6,10
20220116,0,1.51,73,7,11
20220116,1,1.52,73,4,11
20220116,2,1.4,69,4,11
20220116,3,1.24,63,5,11
20220116,4,1.1,52,11,10
20220116,5,1.06,45,20,11
20220116,6,1.09,39,26,10
20220116,7,1.05,40,24,10
20220116,8,1.01,41,23,9
20220116,9,0.94,40,26,11
20220116,10,0.95,35,34,13
20220116,11,0.96,34,42,15
20220116,12,1,32,53,14
20220116,13,0.96,32,64,13
20220116,14,0.91,29,70,12
20220116,15,0.93,30,71,13
20220116,16,0.98,31,73,11
20220116,17,1.05,38,67,10
20220116,18,1.05,52,49,11
20220116,19,1.07,60,34,11
20220116,20,1.09,71,19,10
20220116,21,1.14,73,15,12
20220116,22,1.15,75,10,12
20220116,23,1.16,75,10,12
20220117,0,1.2,75,6,11
20220117,1,1.19,74,4,11
20220117,2,1.14,70,4,10
20220117,3,1.1,66,5,10
20220117,4,1.03,63,4,10
20220117,5,0.98,60,4,9
20220117,6,0.91,57,4,9
20220117,7,0.91,56,3,8
20220117,8,0.93,53,4,8
20220117,9,0.93,49,8,10
20220117,10,0.89,48,14,11
20220117,11,0.85,47,21,12
20220117,12,0.8,44,33,12
20220117,13,0.8,39,49,12
20220117,14,0.84,31,74,11
20220117,15,0.86,27,89,10
20220117,16,1.04,31,86,10
20220117,17,1.03,38,76,11
20220117,18,1.14,57,47,13
20220117,19,1.22,70,28,13
20220117,20,1.33,84,13,11
20220117,21,1.39,86,12,11
20220117,22,1.37,83,11,11
20220117,23,1.19,76,12,12
20220118,0,1.09,69,15,13
20220118,1,1.04,61,17,13
20220118,2,1.03,56,17,11
20220118,3,1.05,52,20,10
20220118,4,1.06,51,17,9
20220118,5,1.07,52,16,9
20220118,6,1.1,52,14,9
20220118,7,1.16,52,13,9
20220118,8,1.19,54,9,9
20220118,9,1.32,55,9,10
20220118,10,1.16,53,15,10
20220118,11,0.99,44,30,10
20220118,12,0.93,36,43,10
20220118,13,1.02,31,52,9
20220118,14,1.05,31,55,9
20220118,15,0.99,30,62,10
20220118,16,0.94,31,67,10
20220118,17,0.94,36,62,9
20220118,18,1.01,48,43,9
20220118,19,1.06,58,29,9
20220118,20,1.02,57,25,8
20220118,21,1,55,25,9
20220118,22,1.01,58,20,9
20220118,23,1.03,58,20,9
20220119,0,1.01,55,21,9
20220119,1,1,54,20,9
20220119,2,0.99,55,15,10
20220119,3,1,54,13,9
20220119,4,0.99,53,13,9
20220119,5,1,53,12,9
20220119,6,0.99,50,15,9
20220119,7,1.06,53,11,10
20220119,8,1.14,58,5,11
20220119,9,1.16,53,10,12
20220119,10,1,47,23,15
20220119,11,1,40,42,16
20220119,12,1.1,40,59,16
20220119,13,1.1,35,81,14
20220119,14,1.02,31,94,13
20220119,15,1.01,30,103,11
20220119,16,1.02,32,105,11
20220119,17,1.09,40,95,11
20220119,18,1.24,48,74,11
20220119,19,1.32,49,48,9
20220119,20,1.26,41,38,8
20220119,21,1.16,35,36,8
20220119,22,0.94,30,37,7
20220119,23,0.85,28,37,7
20220120,0,0.85,27,38,7
20220120,1,0.85,27,40,7
20220120,2,0.79,26,39,8
20220120,3,0.81,26,35,8
20220120,4,0.88,26,34,8
20220120,5,0.85,24,37,8
20220120,6,0.84,21,40,8
20220120,7,0.72,21,40,8
20220120,8,0.64,22,40,8
20220120,9,0.6,20,43,8
20220120,10,0.57,21,44,7
20220120,11,0.59,22,46,8
20220120,12,0.6,24,49,8
20220120,13,0.61,21,53,9
20220120,14,0.64,22,55,9
20220120,15,0.69,24,55,10
20220120,16,0.71,28,55,10
20220120,17,0.75,34,50,11
20220120,18,0.79,47,38,11
20220120,19,0.8,50,32,12
20220120,20,0.79,51,29,12
20220120,21,0.84,49,28,13
20220120,22,0.89,47,26,17
20220120,23,0.88,43,27,15
20220121,0,0.84,41,24,11
20220121,1,0.8,37,24,10
20220121,2,0.75,38,22,10
20220121,3,0.68,30,32,10
20220121,4,0.63,28,33,9
20220121,5,0.63,28,33,10
20220121,6,0.65,31,30,10
20220121,7,0.7,35,24,10
20220121,8,0.75,40,20,10
20220121,9,0.79,40,23,12
20220121,10,0.8,36,32,15
20220121,11,0.75,29,49,15
20220121,12,0.68,21,58,13
20220121,13,0.49,18,68,55
20220121,14,0.5,17,71,10
20220121,15,0.5,20,71,9
20220121,16,0.5,23,70,9
20220121,17,0.49,24,67,9
20220121,18,0.52,30,59,9
20220121,19,0.57,32,52,9
20220121,20,0.6,30,49,8
20220121,21,0.57,30,46,9
20220121,22,0.56,27,46,8
20220121,23,0.51,23,49,8
20220122,0,0.5,20,54,8
20220122,1,0.47,18,55,9
20220122,2,0.46,18,55,8
20220122,3,0.47,17,57,8
20220122,4,0.51,17,55,8
20220122,5,0.5,19,50,8
20220122,6,0.6,21,46,8
20220122,7,0.56,24,39,8
20220122,8,0.59,28,32,7
20220122,9,0.65,33,27,7
20220122,10,0.69,33,29,7
20220122,11,0.7,31,33,7
20220122,12,0.68,28,39,7
20220122,13,0.65,26,42,7
20220122,14,0.71,31,38,7
20220122,15,0.69,33,36,7
20220122,16,0.69,35,34,7
20220122,17,0.7,37,32,7
20220122,18,0.74,38,29,7
20220122,19,0.79,37,28,7
20220122,20,0.83,36,28,7
20220122,21,0.89,33,31,6
20220122,22,0.78,28,38,7
20220122,23,0.86,30,34,7
20220123,0,0.9,33,29,7
20220123,1,0.88,31,27,7
20220123,2,0.82,28,29,6
20220123,3,0.81,25,32,6
20220123,4,0.79,23,35,6
20220123,5,0.79,23,38,6
20220123,6,0.79,22,37,6
20220123,7,0.79,23,35,6
20220123,8,0.75,24,38,6
20220123,9,0.74,22,47,7
20220123,10,0.74,21,53,7
20220123,11,0.74,22,56,7
20220123,12,0.78,23,61,7
20220123,13,0.78,21,67,7
20220123,14,0.79,20,76,8
20220123,15,0.78,22,76,7
20220123,16,0.8,24,70,7
20220123,17,0.84,26,63,6
20220123,18,0.86,27,59,6
20220123,19,0.93,28,52,6
20220123,20,0.99,31,43,6
20220123,21,1.01,31,41,6
20220123,22,0.98,30,43,7
20220123,23,0.94,29,45,7
20220124,0,0.95,29,43,7
20220124,1,0.96,28,41,7
20220124,2,1.04,28,37,8
20220124,3,1.03,29,34,8
20220124,4,1.05,29,32,8
20220124,5,1.05,31,29,7
20220124,6,1,31,29,8
20220124,7,0.95,32,30,7
20220124,8,0.93,31,32,7
20220124,9,0.94,30,34,8
20220124,10,0.91,30,37,8
20220124,11,0.87,29,42,8
20220124,12,0.86,27,51,9
20220124,13,0.89,26,57,9
20220124,14,0.91,29,55,10
20220124,15,0.89,34,49,10
20220124,16,0.91,40,45,10
20220124,17,1.04,42,37,10
20220124,18,1.14,44,32,8
20220124,19,1.21,45,29,8
20220124,20,1.18,44,28,8
20220124,21,1.2,49,18,7
20220124,22,1.23,52,12,8
20220124,23,1.21,53,9,7
20220125,0,1.16,51,10,7
20220125,1,1.18,44,13,7
20220125,2,1.1,39,18,8
20220125,3,1.09,36,19,8
20220125,4,1.05,36,17,8
20220125,5,1.05,36,17,9
20220125,6,1.07,36,13,9
20220125,7,1.14,37,11,9
20220125,8,1.2,37,10,9
20220125,9,1.24,35,13,9
20220125,10,1.24,34,20,10
20220125,11,1.24,32,33,10
20220125,12,1.21,27,51,11
20220125,13,1.21,25,65,10
20220125,14,1.14,25,73,9
20220125,15,1.11,26,76,8
20220125,16,1.1,28,75,8
20220125,17,1.05,29,70,7
20220125,18,1.09,34,60,7
20220125,19,1.15,44,44,7
20220125,20,1.18,46,40,8
20220125,21,1.24,56,23,8
20220125,22,1.34,61,17,8
20220125,23,1.31,63,9,8
20220126,0,1.36,64,8,8
20220126,1,1.39,57,15,8
20220126,2,1.42,54,17,9
20220126,3,1.34,49,18,8
20220126,4,1.32,49,15,8
20220126,5,1.45,51,9,8
20220126,6,1.69,55,4,9
20220126,7,1.71,61,4,11
20220126,8,1.74,62,4,14
20220126,9,1.8,57,11,15
20220126,10,1.87,48,25,15
20220126,11,1.81,42,37,14
20220126,12,1.76,39,47,16
20220126,13,1.67,37,56,15
20220126,14,1.36,32,68,13
20220126,15,1.19,30,73,12
20220126,16,1.21,32,71,12
20220126,17,1.19,32,67,13
20220126,18,1.16,33,63,15
20220126,19,1.3,36,57,16
20220126,20,1.06,32,56,13
20220126,21,0.97,28,57,10
20220126,22,1.06,31,54,11
20220126,23,1.09,33,50,11
20220127,0,1.03,30,52,11
20220127,1,1.01,31,49,10
20220127,2,0.95,33,47,11
20220127,3,0.96,31,49,11
20220127,4,1.03,33,45,13
20220127,5,1.16,37,36,14
20220127,6,1.21,40,31,14
20220127,7,1.15,37,32,13
20220127,8,1.13,37,33,13
20220127,9,1.09,33,36,12
20220127,10,0.99,31,41,12
20220127,11,0.98,29,50,11
20220127,12,0.93,24,64,12
20220127,13,0.86,20,74,11
20220127,14,0.86,21,80,11
20220127,15,0.8,23,81,10
20220127,16,0.8,24,81,10
20220127,17,0.75,23,76,11
20220127,18,0.81,27,71,12
20220127,19,0.81,31,61,11
20220127,20,0.76,33,54,11
20220127,21,0.83,31,56,13
20220127,22,0.86,32,53,14
20220127,23,0.88,34,47,14
20220128,0,0.89,31,48,14
20220128,1,0.88,34,44,14
20220128,2,0.84,33,42,13
20220128,3,0.84,31,41,13
20220128,4,0.86,33,34,13
20220128,5,0.9,37,28,13
20220128,6,0.96,39,25,12
20220128,7,0.99,43,22,12
20220128,8,0.96,39,30,12
20220128,9,0.91,29,46,13
20220128,10,0.86,25,55,14
20220128,11,0.86,25,60,14
20220128,12,0.91,24,62,14
20220128,13,0.84,23,68,14
20220128,14,0.94,23,68,13
20220128,15,0.96,25,69,14
20220128,16,0.93,26,68,14
20220128,17,0.94,26,67,17
20220128,18,0.94,28,63,20
20220128,19,0.96,30,56,20
20220128,20,1,34,47,18
20220128,21,1.08,37,41,16
20220128,22,1.09,38,34,15
20220128,23,1.13,38,35,15
20220129,0,1.16,35,34,14
20220129,1,1.2,30,35,13
20220129,2,1.23,28,34,11
20220129,3,1.25,27,30,10
20220129,4,1.31,29,25,10
20220129,5,1.38,30,20,9
20220129,6,1.36,30,18,9
20220129,7,1.41,32,15,9
20220129,8,1.42,35,11,9
20220129,9,1.5,33,16,9
20220129,10,1.59,32,23,21
20220129,11,1.5,32,41,22
20220129,12,1.36,31,60,19
20220129,13,1.26,27,76,19
20220129,14,1.29,25,88,18
20220129,15,1.27,25,91,16
20220129,16,1.31,27,91,15
20220129,17,1.34,30,85,14
20220129,18,1.39,32,78,12
20220129,19,1.41,35,70,12
20220129,20,1.41,35,66,12
20220129,21,1.44,39,56,12
20220129,22,1.45,41,51,12
20220129,23,1.43,42,45,12
20220130,0,1.39,47,36,11
20220130,1,1.31,35,45,10
20220130,2,1.21,30,48,9
20220130,3,1.2,24,52,8
20220130,4,1.2,24,52,8
20220130,5,1.19,25,49,8
20220130,6,1.16,26,45,8
20220130,7,1.24,30,38,8
20220130,8,1.36,45,19,9
20220130,9,1.46,46,20,10
20220130,10,1.54,39,39,14
20220130,11,1.18,25,74,14
20220130,12,1.03,19,89,12
20220130,13,0.97,18,97,10
20220130,14,0.89,15,102,9
20220130,15,0.84,16,105,8
20220130,16,0.89,17,106,8
20220130,17,0.88,19,102,8
20220130,18,0.86,22,95,7
20220130,19,0.94,31,77,7
20220130,20,1.03,41,57,7
20220130,21,1.01,40,55,8
20220130,22,1.05,35,60,7
20220130,23,1.09,32,62,8
20220131,0,1.09,29,66,7
20220131,1,1.09,25,69,7
20220131,2,1.05,24,68,7
20220131,3,1.06,22,68,7
20220131,4,1.09,22,66,7
20220131,5,1.09,21,65,7
20220131,6,1.05,20,68,8
20220131,7,0.99,20,66,7
20220131,8,0.99,22,63,8
20220131,9,0.99,21,62,8
20220131,10,1.01,16,66,8
20220131,11,1.15,16,68,9
20220131,12,0.99,14,79,9
20220131,13,0.88,12,88,8
20220131,14,0.82,12,94,9
20220131,15,0.74,11,98,9
20220131,16,0.73,12,100,9
20220131,17,0.71,12,100,9
20220131,18,0.75,14,96,9
20220131,19,0.85,16,90,10
20220131,20,0.77,18,84,12
20220131,21,0.76,19,80,13
20220131,22,0.81,22,73,13
20220131,23,0.85,27,63,14
20220201,0,0.86,31,51,14
20220201,1,0.94,35,39,18
20220201,2,0.93,32,37,15
20220201,3,0.93,30,38,12
20220201,4,0.98,35,32,13
20220201,5,0.99,36,26,12
20220201,6,1.01,36,27,12
20220201,7,1.06,31,32,14
20220201,8,1.1,31,35,16
20220201,9,1.34,27,43,21
20220201,10,1.19,20,60,26
20220201,11,0.93,14,72,29
20220201,12,0.85,13,82,21
20220201,13,0.71,10,91,18
20220201,14,0.66,10,95,14
20220201,15,0.57,9,98,10
20220201,16,0.63,10,98,10
20220201,17,0.65,11,96,10
20220201,18,0.6,12,91,10
20220201,19,0.61,16,83,10
20220201,20,0.65,20,75,11
20220201,21,0.68,20,71,13
20220201,22,0.69,20,66,12
20220201,23,0.7,23,58,11
20220202,0,0.68,21,58,11
20220202,1,0.69,22,52,11
20220202,2,0.7,23,45,10
20220202,3,0.7,20,49,10
20220202,4,0.7,13,55,10
20220202,5,0.69,13,52,9
20220202,6,0.73,13,50,8
20220202,7,0.77,14,48,8
20220202,8,0.81,18,44,9
20220202,9,0.82,18,48,9
20220202,10,0.81,14,61,11
20220202,11,0.8,11,73,10
20220202,12,0.73,11,81,10
20220202,13,0.71,9,90,10
20220202,14,0.7,10,96,10
20220202,15,0.69,10,102,10
20220202,16,0.71,10,103,9
20220202,17,0.7,11,103,9
20220202,18,0.71,15,97,9
20220202,19,0.74,19,87,9
20220202,20,0.78,23,77,9
20220202,21,0.81,26,70,10
20220202,22,0.86,27,64,10
20220202,23,0.85,24,63,9
20220203,0,0.84,21,63,9
20220203,1,0.84,20,62,9
20220203,2,0.82,20,57,8
20220203,3,0.81,16,60,8
20220203,4,0.84,21,51,8
20220203,5,0.88,25,41,7
20220203,6,0.86,29,32,7
20220203,7,0.94,35,22,7
20220203,8,0.95,36,20,7
20220203,9,0.94,34,27,8
20220203,10,0.88,28,49,10
20220203,11,0.79,22,70,10
20220203,12,0.75,14,93,10
20220203,13,0.75,11,104,10
20220203,14,0.8,11,113,11
20220203,15,0.79,12,117,11
20220203,16,0.81,13,116,10
20220203,17,0.81,13,115,10
20220203,18,0.79,16,108,10
20220203,19,0.81,23,95,10
20220203,20,0.89,28,83,10
20220203,21,0.97,36,63,15
20220203,22,1.2,42,51,10
20220203,23,1,43,47,9
20220204,0,0.94,35,52,9
20220204,1,0.93,36,42,8
20220204,2,0.87,30,47,8
20220204,3,0.9,27,47,8
20220204,4,0.89,27,45,8
20220204,5,0.85,25,43,7
20220204,6,0.86,30,38,7
20220204,7,0.86,32,32,7
20220204,8,0.94,39,24,7
20220204,9,1,43,29,9
20220204,10,0.91,24,67,10
20220204,11,0.78,14,88,9
20220204,12,0.76,12,97,10
20220204,13,0.75,11,101,9
20220204,14,0.7,11,104,9
20220204,15,0.72,11,107,8
20220204,16,0.72,12,107,8
20220204,17,0.75,14,108,8
20220204,18,0.85,16,102,8
20220204,19,1.01,22,89,10
20220204,20,1.03,24,85,11
20220204,21,1.02,24,84,12
20220204,22,1.06,26,77,12
20220204,23,1.07,29,68,11
20220205,0,1.07,29,60,12
20220205,1,1.05,29,55,11
20220205,2,1.03,27,54,11
20220205,3,1.01,22,57,11
20220205,4,0.85,16,59,11
20220205,5,0.78,16,58,10
20220205,6,0.74,19,52,10
20220205,7,0.74,23,44,10
20220205,8,0.79,31,35,10
20220205,9,0.8,27,46,13
20220205,10,0.71,17,66,13
20220205,11,0.64,14,75,11
20220205,12,0.64,11,79,11
20220205,13,0.61,12,84,10
20220205,14,0.6,10,90,9
20220205,15,0.64,10,95,9
20220205,16,0.7,11,95,10
20220205,17,0.68,12,93,10
20220205,18,0.63,15,86,9
20220205,19,0.66,19,75,10
20220205,20,0.69,23,70,11
20220205,21,0.74,30,58,11
20220205,22,0.75,35,50,14
20220205,23,0.77,37,43,15
20220206,0,0.77,40,36,11
20220206,1,0.8,41,30,10
20220206,2,0.81,42,27,10
20220206,3,0.78,42,26,10
20220206,4,0.79,39,28,11
20220206,5,0.76,39,27,12
20220206,6,0.81,41,23,12
20220206,7,0.96,50,13,12
20220206,8,1.03,52,12,12
20220206,9,1.09,49,21,15
